DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 44262,117 ; 39,7445 ; 232,12276 ; 27,619974 ; 0,6949383 ; 0,059291523
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 5497,1074 ; 1,40575 ; 568,962 ; 3,0231967 ; 2,1505933 ; 0,027024856
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2897,8433 ; 1,338 ; 558,194 ; 2,8268716 ; 2,1127589 ; 0,033336602
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2610,4785 ; 1,33775 ; 490,11 ; 2,7945597 ; 2,089 ; 0,037203364
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 56905,28 ; 38,83575 ; 233,0795 ; 27,686817 ; 0,71292084 ; 0,046739787
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4150,2817 ; 1,4315 ; 515,327 ; 2,7505815 ; 1,9214681 ; 0,02956485
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 4422,596 ; 1,2665 ; 488,66675 ; 2,7481923 ; 2,1699111 ; 0,02952105
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 85533,62 ; 32,69 ; 931,115 ; 28,612148 ; 0,87525696 ; 0,030167345
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 70487,805 ; 21,12 ; 1835,179 ; 22,231478 ; 1,0526267 ; 0,02502429
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 57204,02 ; 26,11775 ; 366,104 ; 20,403698 ; 0,7812196 ; 0,03352284
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
