relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;19486,549;2,04825;704,37976;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;393942,53;76,34025;449,86575;24,246506;0,31761104;0,006085341
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;25542,389;3,27875;767,40826;0,33439896;0,10198977;0,001006726
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;356985,53;276,8585;0;25,884214;0,09349258;0,007250774
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;9927,775;1,559;681,601;0,5040884;0,32334086;0,0030106
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;300383,25;276,8585;0;25,884214;0,09349258;0,008617063
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;190797,33;76,15225;452,80426;24,287598;0,31893474;0,01243443
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;6270,864;1,87525;749,422;0,7584639;0,40446016;0,005510056
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;457038,62;276,8585;0;25,884214;0,09349258;0,005663463
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;16044,038;1,79125;684,81573;0,5040884;0,2814171;0,00220201
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;11254,16;1,54175;774,2983;0;0;0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;372340,88;284,34625;0;29,749525;0,104624294;0,007989863
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;454407,2;284,34625;0;29,749525;0,104624294;0,006546887
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;13110,197;1,559;676,9995;0;0;0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;309970,22;284,34625;0;29,749525;0,104624294;0,009597543
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;8811,528;1,37475;677,11975;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;389872,8;74,327;520,965;27,890877;0,37524554;0,007059508
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;189135,25;74,456;519,8032;27,82299;0,37368366;0,014317152
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;5554,83;1,609;722,4722;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;407135,6;69,4585;479,8805;23,402235;0,336924;0,005681058
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;10915,939;1,5655;698,223;0,5069932;0,32385382;0,002832654
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;535087,75;285,00824;0;26,973991;0,09464285;0,005041041
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;5957,382;1,7225;719,311;0,003520853;0,002044037;2,68E-05
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;17316,516;1,86275;703,233;0,5083709;0,27291417;0,002087865
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;177776,02;69,049;473,82874;23,7449;0,34388477;0,013009885
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;403610,5;285,00824;0;26,973991;0,09464285;0,006683174
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;324052,06;285,00824;0;26,973991;0,09464285;0,008323968
